0	plugin.init	plugin.init	-	-	-	-	-
4415	bus	session.created	-	-	session-id	-	-
4425	hook	chat.message	-	-	session-id	-	-
4427	bus	message.updated	-	-	session-id	-	-
4429	bus	message.part.updated	-	-	session-id	-	-
4431	bus	session.updated	-	-	session-id	-	-
4433	bus	session.status	{"type":"busy"}	-	session-id	-	-
4436	bus	message.updated	-	-	session-id	parent-id	-
4538	bus	session.updated	-	-	session-id	-	-
4539	bus	session.diff	-	-	session-id	-	-
4580	bus	message.updated	-	-	session-id	-	-
4699	hook	chat.params	-	-	-	-	-
5717	bus	session.status	{"type":"busy"}	-	session-id	-	-
5718	hook	chat.params	-	-	-	-	-
6519	bus	session.updated	-	-	session-id	-	-
7047	bus	message.part.updated	-	-	session-id	-	-
7048	bus	message.part.updated	-	-	session-id	-	-
13401	bus	session.error	-	-	session-id	-	MessageAbortedError
13402	bus	session.status	{"type":"idle"}	-	session-id	-	-
13402	bus	session.idle	-	-	session-id	-	-
13404	bus	message.part.updated	-	-	session-id	-	-
13405	bus	message.updated	-	-	session-id	parent-id	MessageAbortedError
13407	bus	session.status	{"type":"idle"}	-	session-id	-	-
13407	bus	session.idle	-	-	session-id	-	-
32921	hook	dispose	-	-	-	-	-
