0	plugin.init	plugin.init	-	-	-	-
176	bus	session.created	-	-	session-id	-
223	bus	session.updated	-	-	session-id	-
225	hook	chat.message	-	-	session-id	-
226	bus	message.updated	-	-	session-id	-
512	bus	message.part.updated	-	-	session-id	-
521	bus	session.updated	-	-	session-id	-
524	bus	session.status	{"type":"busy"}	-	session-id	-
528	bus	message.updated	-	-	session-id	parent-id
565	bus	session.updated	-	-	session-id	-
565	bus	session.diff	-	-	session-id	-
566	bus	message.updated	-	-	session-id	-
590	hook	chat.params	-	-	-	-
1182	bus	session.status	{"type":"busy"}	-	session-id	-
1188	hook	chat.params	-	-	-	-
3336	bus	session.updated	-	-	session-id	-
4280	bus	message.part.updated	-	-	session-id	-
4281	bus	message.part.updated	-	-	session-id	-
4356	hook	tool.execute.before	-	bash	-	-
4361	bus	message.part.updated	-	-	session-id	-
4386	bus	permission.asked	-	-	session-id	-
4388	bus	permission.replied	-	-	session-id	-
4393	bus	message.part.updated	-	-	session-id	-
4424	bus	message.part.updated	-	-	session-id	-
4424	bus	message.updated	-	-	session-id	parent-id
4426	bus	message.updated	-	-	session-id	parent-id
4426	bus	session.status	{"type":"idle"}	-	session-id	-
4427	bus	session.idle	-	-	session-id	-
4439	hook	dispose	-	-	-	-
